time,one,tow
2024-06-24 21:09:16.126924,-0.2599999999999999,0.0699999999999998
2024-06-24 21:09:16.392527,-0.2599999999999999,0.0699999999999998
2024-06-24 21:09:16.595652,-0.2599999999999999,0.0699999999999998
2024-06-24 21:09:16.767534,-0.2500000000000001,0.06
2024-06-24 21:09:16.955009,-0.2500000000000001,0.06
2024-06-24 21:09:17.111263,-0.2500000000000001,0.06
2024-06-24 21:09:17.314385,-0.2500000000000001,0.06
2024-06-24 21:09:17.533134,-0.2500000000000001,0.06
2024-06-24 21:09:17.751895,-0.2500000000000001,0.06
2024-06-24 21:09:17.951857,-0.2600000000000001,0.05
2024-06-24 21:09:18.205019,-0.25,0.05
2024-06-24 21:09:18.517517,-0.25,0.05
2024-06-24 21:09:18.705008,-0.2499999999999999,0.0799999999999998
2024-06-24 21:09:18.970645,-0.2499999999999999,0.0799999999999998
2024-06-24 21:09:19.205027,-0.2499999999999999,0.0799999999999998
2024-06-24 21:09:19.423795,-0.2499999999999999,0.0799999999999998
2024-06-24 21:09:19.611276,-0.2499999999999999,0.0799999999999998
2024-06-24 21:09:19.798977,-0.2499999999999999,0.0799999999999998
2024-06-24 21:09:19.988807,-0.2499999999999999,0.0799999999999998
2024-06-24 21:09:20.220699,-0.2499999999999999,0.0799999999999998
2024-06-24 21:09:20.439386,-0.2499999999999999,0.0799999999999998
2024-06-24 21:09:20.626869,-0.2499999999999999,0.0799999999999998
2024-06-24 21:09:20.814429,-0.2400000000000001,0.07
2024-06-24 21:09:21.017509,-0.2400000000000001,0.07
2024-06-24 21:09:21.251913,-0.2400000000000001,0.07
2024-06-24 21:09:21.470663,-0.2400000000000001,0.07
2024-06-24 21:09:21.705044,-0.2400000000000001,0.07
2024-06-24 21:09:21.908163,-0.2400000000000001,0.07
2024-06-24 21:09:22.174823,-0.2400000000000001,0.07
2024-06-24 21:09:22.376913,-0.2400000000000001,0.07
2024-06-24 21:09:22.611260,-0.2400000000000001,0.07
2024-06-24 21:09:22.814404,-0.2400000000000001,0.07
2024-06-24 21:09:23.017516,-0.2400000000000001,0.07
2024-06-24 21:09:23.220656,-0.2400000000000001,0.07
2024-06-24 21:09:23.486262,-0.2400000000000001,0.07
2024-06-24 21:09:23.783139,-0.2400000000000001,0.07
2024-06-24 21:09:24.001939,-0.2600000000000001,0.06
2024-06-24 21:09:24.251898,-0.2600000000000001,0.06
2024-06-24 21:09:24.517530,-0.2600000000000001,0.05
2024-06-24 21:09:24.752464,-0.2600000000000001,0.05
2024-06-24 21:09:25.001969,-0.2600000000000001,0.05
2024-06-24 21:09:25.205054,-0.2500000000000001,0.05
2024-06-24 21:09:25.501912,-0.2600000000000001,0.05
2024-06-24 21:09:25.783162,-0.2600000000000001,0.05
2024-06-24 21:09:26.001931,-0.2299999999999998,0.0599999999999998
2024-06-24 21:09:26.207159,-0.2400000000000001,0.07
2024-06-24 21:09:26.501917,-0.2400000000000001,0.07
2024-06-24 21:09:26.767536,-0.2400000000000001,0.07
2024-06-24 21:09:27.004813,-0.2300000000000001,0.06
2024-06-24 21:09:27.298805,-0.2299999999999998,0.0599999999999998
2024-06-24 21:09:27.501893,-0.2299999999999998,0.0599999999999998
2024-06-24 21:09:27.689394,-0.2299999999999998,0.0599999999999998
2024-06-24 21:09:27.908138,-0.2299999999999998,0.0599999999999998
2024-06-24 21:09:28.151843,-0.22,0.05
2024-06-24 21:09:28.330051,-0.2299999999999998,0.0599999999999998
2024-06-24 21:09:28.595685,-0.2499999999999999,0.0599999999999998
2024-06-24 21:09:28.853476,-0.2499999999999999,0.0599999999999998
2024-06-24 21:09:29.080049,-0.2499999999999999,0.0599999999999998
2024-06-24 21:09:29.283134,-0.2499999999999999,0.0599999999999998
